organism,Acidaminococcus fermentans,Akkermansia muciniphila,Alistipes finegoldii,Alistipes putredinis,Alistipes shahii,Bacteroides caccae,Bacteroides coprocola,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides intestinalis,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium longum,Bilophila wadsworthia,Blautia wexlerae,Citrobacter amalonaticus,Clostridium clostridioforme,Collinsella tanakaei,Coprococcus catus,Desulfovibrio desulfuricans,Desulfovibrio piger,Dialister invisus,Dorea longicatena,Enterobacter cloacae,Enterococcus faecium,Escherichia coli,Eubacterium rectale,Faecalibacterium prausnitzii,Fusobacterium varium,Haemophilus parainfluenzae,Helicobacter pylori,Klebsiella pneumoniae,Lactobacillus mucosae,Lactobacillus reuteri,Megasphaera elsdenii,Parabacteroides distasonis,Parabacteroides johnsonii,Phascolarctobacterium succinatutens,Prevotella ruminicola,Pseudoflavonifractor capillosus,Roseburia intestinalis,Roseburia inulinivorans,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus torques,Shigella flexneri,Streptococcus salivarius,Subdoligranulum variabile,Veillonella atypica
Bacteroides stercoris,0,2,3,1,3,1,2,2,3,1,0,1,1,2,6,2,6,2,2,1,2,1,0,0,1,2,2,3,2,1,3,2,1,1,3,3,2,0,0,1,2,0,1,2,2,8,1,4,2,2,1,0
Bacteroides thetaiotaomicron,0,2,3,1,3,0,4,2,2,3,2,0,1,1,6,1,6,2,3,2,2,2,0,0,0,1,3,3,3,0,3,3,0,1,3,3,0,0,1,2,1,2,0,2,0,6,1,2,3,0,1,0
Bacteroides uniformis,1,3,3,1,3,1,3,2,3,2,2,1,0,2,6,2,7,3,3,1,2,1,1,1,1,2,3,5,3,1,4,4,2,2,4,3,2,0,1,2,2,2,2,2,2,8,2,3,3,2,2,1
Bifidobacterium adolescentis,1,2,1,1,1,0,3,1,1,2,2,0,0,0,1,1,1,3,3,2,1,1,1,1,0,1,3,3,3,0,2,3,1,1,3,2,0,0,1,2,1,2,1,1,0,0,1,2,3,0,2,1
Bifidobacterium bifidum,1,3,2,1,2,0,3,1,2,2,2,1,0,1,0,0,3,2,2,1,2,2,1,1,1,0,2,2,2,0,3,1,2,2,3,3,1,0,1,2,0,2,2,1,1,3,1,2,2,1,1,1
Bifidobacterium longum,1,1,2,0,2,0,1,1,2,1,1,1,0,2,5,0,7,1,2,0,2,1,1,1,1,0,2,2,2,0,3,0,2,2,3,1,1,0,1,2,0,2,2,1,1,7,1,1,2,1,1,1
Bilophila wadsworthia,0,1,1,0,1,1,0,1,2,0,0,1,0,1,3,1,0,1,0,0,1,1,0,0,1,1,0,3,1,1,2,1,1,2,2,1,2,0,0,0,1,1,1,1,2,2,0,2,0,2,0,0
Blautia wexlerae,0,1,2,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0
Citrobacter amalonaticus,0,2,2,0,2,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,2,2,0,0,2,0,0,3,2,0,0,2,1,2,3,4,1,0,0,0,0,2,1,0,1,1,1,2,0,1,0,0
Clostridium clostridioforme,1,1,2,0,2,0,0,0,1,0,0,1,0,1,0,0,2,1,2,0,1,1,1,2,1,2,2,2,3,0,1,0,2,2,4,3,1,0,0,1,0,1,2,0,1,1,2,1,3,1,1,1
Collinsella tanakaei,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,2,0,1,0,1,1,2,1,0,0,0,1,0,2,1,0,0,0,2,1,1,0,1,1
Coprococcus catus,1,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,7,1,2,1,1,0,1,1,0,1,1,1,2,0,3,0,1,2,1,1,0,0,0,1,0,1,1,0,0,6,2,0,1,0,1,1
Desulfovibrio desulfuricans,0,2,2,0,2,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,2,2,0,1,1,1,0,2,1,0,0,1,1,2,2,5,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0
Desulfovibrio piger,0,1,1,0,1,1,0,1,2,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,1,1,0,1,1,2,2,1,2,0,0,0,1,1,1,1,2,2,0,2,0,2,0,0
Dialister invisus,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Dorea longicatena,1,1,1,0,1,0,0,0,1,0,0,1,0,2,4,0,7,1,1,0,2,1,1,1,1,0,1,1,2,0,3,0,2,1,3,1,1,0,0,1,0,0,2,0,1,7,1,1,1,1,1,1
Enterobacter cloacae,0,2,2,0,2,1,1,1,2,1,1,1,0,1,0,1,0,2,0,1,2,2,0,0,2,1,0,3,2,1,0,2,1,2,3,5,2,0,0,0,1,2,1,1,2,2,1,3,0,2,0,0
Enterococcus faecium,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,1,1,0,1,0,1,1,0,0,1,0,1,0,3,0,1,1,1,0,0,0,0,1,0,0,1,0,0,6,1,0,1,0,1,1
Escherichia coli,1,3,2,1,2,2,2,1,3,1,1,2,0,2,4,1,7,1,1,1,3,2,2,1,1,2,1,5,0,1,2,4,1,3,1,4,3,0,1,1,2,1,1,1,2,8,1,4,0,3,0,0
Eubacterium rectale,1,1,1,1,1,0,0,0,1,0,0,1,0,3,6,1,7,2,3,2,2,1,1,1,1,2,2,4,3,0,4,2,2,3,3,1,1,0,0,1,1,1,2,0,1,7,1,2,2,1,2,1
Faecalibacterium prausnitzii,0,1,2,1,2,1,1,2,3,1,0,1,1,2,4,1,6,1,2,1,1,1,0,0,1,2,1,2,2,1,0,1,1,2,2,1,2,0,0,1,1,0,1,2,2,8,0,2,1,2,0,0
Fusobacterium varium,2,1,2,1,2,0,0,0,1,0,0,1,0,2,0,0,1,1,3,1,1,1,2,1,1,2,2,2,3,0,1,0,2,3,3,2,1,0,0,1,0,1,2,0,1,1,2,1,2,1,1,1
Haemophilus parainfluenzae,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,1,1,0,0,1,0,1,1,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Helicobacter pylori,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0
Klebsiella pneumoniae,1,2,0,1,0,2,2,1,2,1,1,1,0,0,0,1,1,2,1,2,2,2,2,1,0,2,1,3,0,1,0,3,0,2,0,3,3,0,1,1,2,1,0,1,1,1,0,3,0,2,0,0
Lactobacillus mucosae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
Lactobacillus reuteri,2,0,1,0,1,1,1,1,1,1,1,1,1,1,4,0,7,2,2,1,2,1,2,2,1,1,2,1,2,1,4,1,1,1,2,1,0,0,1,2,1,2,2,1,1,6,1,0,2,1,2,2
Megasphaera elsdenii,0,3,2,2,2,0,2,0,1,1,1,1,0,2,0,0,0,1,1,2,2,2,0,0,1,1,0,2,1,0,0,1,1,3,1,4,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0
Parabacteroides distasonis,1,3,2,1,2,0,2,0,1,1,1,1,0,2,5,0,7,2,1,1,3,2,1,1,1,0,1,1,1,0,3,1,2,1,2,5,1,0,0,1,0,0,2,0,1,7,2,2,1,1,1,1
Parabacteroides johnsonii,0,3,2,1,2,1,2,1,2,1,1,1,0,2,5,1,6,1,0,0,2,1,0,0,1,1,0,2,0,1,2,2,1,1,1,4,2,0,0,0,1,0,1,1,2,8,1,3,0,2,0,0
Phascolarctobacterium succinatutens,0,1,2,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0
Prevotella ruminicola,0,2,3,0,3,0,2,1,2,2,1,1,1,1,0,0,0,1,1,1,2,2,0,0,1,0,1,1,1,0,0,1,1,1,2,4,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
Pseudoflavonifractor capillosus,0,0,0,0,0,1,0,1,1,0,0,0,0,1,5,1,6,1,1,0,1,0,0,0,0,2,1,1,1,1,2,1,0,0,1,0,1,0,0,0,1,0,0,1,1,7,0,1,1,1,0,0
Roseburia intestinalis,1,1,1,1,1,0,0,0,1,0,0,1,0,3,6,1,7,2,3,2,2,1,1,1,1,2,2,3,3,0,4,1,2,3,3,1,1,0,0,1,1,1,2,0,1,7,1,2,2,1,2,1
Roseburia inulinivorans,1,0,1,1,1,0,0,0,0,0,0,0,0,2,6,1,7,2,3,2,1,1,1,1,0,2,2,2,3,0,4,1,1,2,2,1,0,0,0,1,1,1,1,0,0,6,2,2,2,0,2,1
Ruminococcus bromii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,2,1,0,0,1,1,0,1,2,2,2,0,4,1,1,1,2,0,0,0,0,1,1,1,1,0,0,0,1,1,2,0,2,1
Ruminococcus callidus,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,2,2,0,0,1,0,0,2,0,0,0,0,1,2,1,3,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0
Ruminococcus torques,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0,6,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0
Shigella flexneri,0,2,2,0,2,1,1,1,2,1,1,1,0,1,0,1,0,2,0,1,2,2,1,0,2,1,0,4,2,1,0,3,1,2,3,5,2,0,0,0,1,2,1,1,2,2,1,2,0,2,0,0
Streptococcus salivarius,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,2,1,2,1,2,0,0,1,1,1,2,2,0,1,2,0,1,2,3,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,0
Subdoligranulum variabile,0,1,1,1,1,1,0,1,2,0,0,1,0,3,5,1,6,1,1,1,2,1,0,0,1,2,0,3,1,1,2,1,1,3,1,1,2,0,0,0,1,1,1,1,2,8,0,3,0,2,0,0
Veillonella atypica,0,1,2,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,2,1,3,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0
