Derives benefit	Helps the Col 1 organism	MSI
Haemophilus parainfluenzae	Bifidobacterium longum	0.024
Haemophilus parainfluenzae	Bacteroides caccae	0.021
Haemophilus parainfluenzae	Clostridium clostridioforme	0.024
Haemophilus parainfluenzae	Parabacteroides johnsonii	0.021
Haemophilus parainfluenzae	Bacteroides eggerthii	0.024
Haemophilus parainfluenzae	Alistipes finegoldii	0.003
Haemophilus parainfluenzae	Parabacteroides distasonis	0.024
Haemophilus parainfluenzae	Dorea longicatena	0.024
Lactobacillus reuteri	Bilophila wadsworthia	0.02
Lactobacillus reuteri	Phascolarctobacterium succinatutens	0.016
Lactobacillus reuteri	Acidaminococcus fermentans	0.016
Lactobacillus reuteri	Citrobacter amalonaticus	0.016
Lactobacillus reuteri	Alistipes putredinis	0.02
Lactobacillus reuteri	Escherichia coli	0.022
Lactobacillus reuteri	Subdoligranulum variabile	0.02
Lactobacillus reuteri	Megasphaera elsdenii	0.016
Lactobacillus reuteri	Ruminococcus callidus	0.016
Lactobacillus reuteri	Faecalibacterium prausnitzii	0.02
Lactobacillus reuteri	Bacteroides uniformis	0.02
Lactobacillus reuteri	Fusobacterium varium	0.016
Lactobacillus reuteri	Prevotella ruminicola	0.016
Lactobacillus reuteri	Shigella flexneri	0.02
Lactobacillus reuteri	Blautia wexlerae	0.016
Lactobacillus reuteri	Enterobacter cloacae	0.02
Lactobacillus reuteri	Eubacterium rectale	0.016
Lactobacillus reuteri	Bacteroides intestinalis	0.02
Lactobacillus reuteri	Bacteroides coprocola	0.02
Lactobacillus reuteri	Veillonella atypica	0.016
Lactobacillus reuteri	Bacteroides stercoris	0.02
Lactobacillus reuteri	Desulfovibrio desulfuricans	0.016
Lactobacillus reuteri	Klebsiella pneumoniae	0.016
Lactobacillus reuteri	Desulfovibrio piger	0.02
Lactobacillus reuteri	Roseburia intestinalis	0.016
Lactobacillus reuteri	Bifidobacterium longum	0.016
Lactobacillus reuteri	Bacteroides caccae	0.016
Lactobacillus reuteri	Clostridium clostridioforme	0.016
Lactobacillus reuteri	Parabacteroides johnsonii	0.02
Lactobacillus reuteri	Bacteroides eggerthii	0.016
Lactobacillus reuteri	Parabacteroides distasonis	0.016
Lactobacillus reuteri	Dorea longicatena	0.016
Ruminococcus callidus	Alistipes putredinis	0.003
Ruminococcus callidus	Bifidobacterium bifidum	0.003
Ruminococcus callidus	Bacteroides uniformis	0.003
Ruminococcus callidus	Fusobacterium varium	0.003
Ruminococcus callidus	Eubacterium rectale	0.003
Ruminococcus callidus	Bacteroides intestinalis	0.003
Ruminococcus callidus	Bacteroides coprocola	0.003
Ruminococcus callidus	Roseburia intestinalis	0.003
Ruminococcus callidus	Bifidobacterium longum	0.003
Ruminococcus callidus	Bacteroides eggerthii	0.003
Ruminococcus callidus	Parabacteroides distasonis	0.003
Ruminococcus callidus	Dorea longicatena	0.003
Faecalibacterium prausnitzii	Bilophila wadsworthia	0.015
Faecalibacterium prausnitzii	Subdoligranulum variabile	0.015
Faecalibacterium prausnitzii	Bacteroides uniformis	0.041
Faecalibacterium prausnitzii	Roseburia inulinivorans	0.041
Faecalibacterium prausnitzii	Eubacterium rectale	0.041
Faecalibacterium prausnitzii	Bacteroides thetaiotaomicron	0.039
Faecalibacterium prausnitzii	Bacteroides stercoris	0.039
Faecalibacterium prausnitzii	Roseburia intestinalis	0.041
Faecalibacterium prausnitzii	Bifidobacterium longum	0.017
Faecalibacterium prausnitzii	Bacteroides caccae	0.015
Faecalibacterium prausnitzii	Pseudoflavonifractor capillosus	0.015
Faecalibacterium prausnitzii	Bacteroides eggerthii	0.041
Faecalibacterium prausnitzii	Parabacteroides distasonis	0.017
Faecalibacterium prausnitzii	Dorea longicatena	0.017
Bacteroides uniformis	Bacteroides caccae	0.016
Fusobacterium varium	Subdoligranulum variabile	0.004
Fusobacterium varium	Faecalibacterium prausnitzii	0.004
Fusobacterium varium	Bacteroides uniformis	0.02
Fusobacterium varium	Eubacterium rectale	0.016
Fusobacterium varium	Bacteroides intestinalis	0.004
Fusobacterium varium	Bacteroides coprocola	0.004
Fusobacterium varium	Bacteroides stercoris	0.014
Fusobacterium varium	Desulfovibrio piger	0.004
Fusobacterium varium	Roseburia intestinalis	0.01
Fusobacterium varium	Bacteroides caccae	0.006
Fusobacterium varium	Parabacteroides johnsonii	0.004
Fusobacterium varium	Bacteroides eggerthii	0.01
Enterococcus faecium	Bilophila wadsworthia	0.025
Enterococcus faecium	Phascolarctobacterium succinatutens	0.018
Enterococcus faecium	Acidaminococcus fermentans	0.038
Enterococcus faecium	Citrobacter amalonaticus	0.043
Enterococcus faecium	Dialister invisus	0.003
Enterococcus faecium	Akkermansia muciniphila	0.005
Enterococcus faecium	Lactobacillus mucosae	0.003
Enterococcus faecium	Alistipes putredinis	0.023
Enterococcus faecium	Ruminococcus torques	0.003
Enterococcus faecium	Escherichia coli	0.05
Enterococcus faecium	Subdoligranulum variabile	0.025
Enterococcus faecium	Lactobacillus reuteri	0.02
Enterococcus faecium	Megasphaera elsdenii	0.02
Enterococcus faecium	Ruminococcus callidus	0.02
Enterococcus faecium	Faecalibacterium prausnitzii	0.023
Enterococcus faecium	Bacteroides uniformis	0.035
Enterococcus faecium	Fusobacterium varium	0.038
Enterococcus faecium	Prevotella ruminicola	0.018
Enterococcus faecium	Streptococcus salivarius	0.008
Enterococcus faecium	Roseburia inulinivorans	0.008
Enterococcus faecium	Shigella flexneri	0.048
Enterococcus faecium	Blautia wexlerae	0.018
Enterococcus faecium	Enterobacter cloacae	0.043
Enterococcus faecium	Bacteroides fragilis	0.013
Enterococcus faecium	Coprococcus catus	0.003
Enterococcus faecium	Eubacterium rectale	0.03
Enterococcus faecium	Bacteroides intestinalis	0.023
Enterococcus faecium	Bacteroides coprocola	0.023
Enterococcus faecium	Bacteroides thetaiotaomicron	0.013
Enterococcus faecium	Veillonella atypica	0.038
Enterococcus faecium	Bacteroides stercoris	0.028
Enterococcus faecium	Alistipes shahii	0.005
Enterococcus faecium	Desulfovibrio desulfuricans	0.038
Enterococcus faecium	Klebsiella pneumoniae	0.028
Enterococcus faecium	Desulfovibrio piger	0.025
Enterococcus faecium	Helicobacter pylori	0.025
Enterococcus faecium	Roseburia intestinalis	0.025
Enterococcus faecium	Bifidobacterium longum	0.02
Enterococcus faecium	Bacteroides caccae	0.025
Enterococcus faecium	Clostridium clostridioforme	0.02
Enterococcus faecium	Pseudoflavonifractor capillosus	0.005
Enterococcus faecium	Parabacteroides johnsonii	0.023
Enterococcus faecium	Bacteroides eggerthii	0.043
Enterococcus faecium	Alistipes finegoldii	0.01
Enterococcus faecium	Parabacteroides distasonis	0.018
Enterococcus faecium	Dorea longicatena	0.018
Bifidobacterium adolescentis	Bilophila wadsworthia	0.017
Bifidobacterium adolescentis	Phascolarctobacterium succinatutens	0.017
Bifidobacterium adolescentis	Acidaminococcus fermentans	0.127
Bifidobacterium adolescentis	Akkermansia muciniphila	0.02
Bifidobacterium adolescentis	Alistipes putredinis	0.017
Bifidobacterium adolescentis	Subdoligranulum variabile	0.147
Bifidobacterium adolescentis	Lactobacillus reuteri	0.02
Bifidobacterium adolescentis	Megasphaera elsdenii	0.127
Bifidobacterium adolescentis	Ruminococcus callidus	0.017
Bifidobacterium adolescentis	Faecalibacterium prausnitzii	0.127
Bifidobacterium adolescentis	Bacteroides uniformis	0.037
Bifidobacterium adolescentis	Fusobacterium varium	0.127
Bifidobacterium adolescentis	Enterococcus faecium	0.02
Bifidobacterium adolescentis	Roseburia inulinivorans	0.13
Bifidobacterium adolescentis	Coprococcus catus	0.13
Bifidobacterium adolescentis	Eubacterium rectale	0.147
Bifidobacterium adolescentis	Bacteroides intestinalis	0.037
Bifidobacterium adolescentis	Bacteroides coprocola	0.037
Bifidobacterium adolescentis	Bacteroides thetaiotaomicron	0.02
Bifidobacterium adolescentis	Veillonella atypica	0.017
Bifidobacterium adolescentis	Bacteroides stercoris	0.037
Bifidobacterium adolescentis	Desulfovibrio desulfuricans	0.017
Bifidobacterium adolescentis	Desulfovibrio piger	0.017
Bifidobacterium adolescentis	Roseburia intestinalis	0.147
Bifidobacterium adolescentis	Bifidobacterium longum	0.037
Bifidobacterium adolescentis	Bacteroides caccae	0.037
Bifidobacterium adolescentis	Pseudoflavonifractor capillosus	0.02
Bifidobacterium adolescentis	Parabacteroides johnsonii	0.037
Bifidobacterium adolescentis	Bacteroides eggerthii	0.037
Bifidobacterium adolescentis	Parabacteroides distasonis	0.037
Bifidobacterium adolescentis	Dorea longicatena	0.037
Prevotella ruminicola	Bilophila wadsworthia	0.011
Prevotella ruminicola	Citrobacter amalonaticus	0.022
Prevotella ruminicola	Bifidobacterium bifidum	0.039
Prevotella ruminicola	Subdoligranulum variabile	0.011
Prevotella ruminicola	Haemophilus parainfluenzae	0.022
