Derives benefit	Helps the Col 1 organism	MSI
Lactobacillus mucosae	Enterobacter cloacae	0.224
Lactobacillus mucosae	Bacteroides eggerthii	0.038
Lactobacillus mucosae	Citrobacter amalonaticus	0.222
Lactobacillus mucosae	Akkermansia muciniphila	0.05
Lactobacillus mucosae	Haemophilus parainfluenzae	0.055
Lactobacillus mucosae	Alistipes shahii	0.055
Lactobacillus mucosae	Parabacteroides johnsonii	0.088
Lactobacillus mucosae	Bacteroides fragilis	0.061
Lactobacillus mucosae	Roseburia inulinivorans	0.004
Lactobacillus mucosae	Bifidobacterium longum	0.023
Lactobacillus mucosae	Parabacteroides distasonis	0.042
Lactobacillus mucosae	Roseburia intestinalis	0.015
Lactobacillus mucosae	Clostridium clostridioforme	0.193
Lactobacillus mucosae	Bacteroides coprocola	0.067
Lactobacillus mucosae	Bifidobacterium adolescentis	0.033
Lactobacillus mucosae	Escherichia coli	0.048
Lactobacillus mucosae	Bacteroides stercoris	0.071
Lactobacillus mucosae	Prevotella ruminicola	0.071
Lactobacillus mucosae	Pseudoflavonifractor capillosus	0.002
Lactobacillus mucosae	Blautia wexlerae	0.067
Lactobacillus mucosae	Eubacterium rectale	0.015
Lactobacillus mucosae	Bacteroides caccae	0.076
Lactobacillus mucosae	Desulfovibrio piger	0.013
Lactobacillus mucosae	Coprococcus catus	0.187
Lactobacillus mucosae	Bifidobacterium bifidum	0.042
Lactobacillus mucosae	Streptococcus salivarius	0.031
Lactobacillus mucosae	Subdoligranulum variabile	0.013
Lactobacillus mucosae	Ruminococcus callidus	0.084
Lactobacillus mucosae	Collinsella tanakaei	0.031
Lactobacillus mucosae	Acidaminococcus fermentans	0.195
Lactobacillus mucosae	Desulfovibrio desulfuricans	0.088
Lactobacillus mucosae	Bacteroides uniformis	0.046
Lactobacillus mucosae	Phascolarctobacterium succinatutens	0.042
Lactobacillus mucosae	Bacteroides intestinalis	0.09
Lactobacillus mucosae	Bilophila wadsworthia	0.013
Lactobacillus mucosae	Alistipes finegoldii	0.055
Lactobacillus mucosae	Klebsiella pneumoniae	0.036
Lactobacillus mucosae	Megasphaera elsdenii	0.092
Lactobacillus mucosae	Veillonella atypica	0.197
Lactobacillus mucosae	Shigella flexneri	0.208
Lactobacillus mucosae	Helicobacter pylori	0.059
Bacteroides eggerthii	Bacteroides thetaiotaomicron	0.017
Bacteroides eggerthii	Parabacteroides johnsonii	0.007
Bacteroides eggerthii	Bifidobacterium longum	0.016
Bacteroides eggerthii	Escherichia coli	0.011
Bacteroides eggerthii	Bacteroides stercoris	0.002
Bacteroides eggerthii	Prevotella ruminicola	0.006
Bacteroides eggerthii	Bacteroides caccae	0.016
Bacteroides eggerthii	Desulfovibrio piger	0.002
Bacteroides eggerthii	Streptococcus salivarius	0.032
Bacteroides eggerthii	Ruminococcus callidus	0.006
Bacteroides eggerthii	Desulfovibrio desulfuricans	0.006
Bacteroides eggerthii	Bacteroides uniformis	0.018
Bacteroides eggerthii	Bacteroides intestinalis	0.007
Bacteroides eggerthii	Bilophila wadsworthia	0.002
Bacteroides eggerthii	Megasphaera elsdenii	0.01
Bacteroides eggerthii	Shigella flexneri	0.011
Citrobacter amalonaticus	Bacteroides thetaiotaomicron	0.045
Citrobacter amalonaticus	Enterobacter cloacae	0.002
Citrobacter amalonaticus	Bacteroides eggerthii	0.011
Citrobacter amalonaticus	Parabacteroides johnsonii	0.006
Citrobacter amalonaticus	Bifidobacterium longum	0.037
Citrobacter amalonaticus	Bifidobacterium adolescentis	0.035
Citrobacter amalonaticus	Bacteroides stercoris	0.013
Citrobacter amalonaticus	Bacteroides caccae	0.045
Citrobacter amalonaticus	Desulfovibrio piger	0.006
Citrobacter amalonaticus	Bifidobacterium bifidum	0.035
Citrobacter amalonaticus	Streptococcus salivarius	0.024
Citrobacter amalonaticus	Ruminococcus callidus	0.003
Citrobacter amalonaticus	Bacteroides uniformis	0.045
Citrobacter amalonaticus	Bacteroides intestinalis	0.006
Ruminococcus torques	Bacteroides thetaiotaomicron	0.015
Ruminococcus torques	Enterobacter cloacae	0.017
Ruminococcus torques	Lactobacillus mucosae	0.01
Ruminococcus torques	Bacteroides eggerthii	0.008
Ruminococcus torques	Citrobacter amalonaticus	0.015
Ruminococcus torques	Akkermansia muciniphila	0.01
Ruminococcus torques	Haemophilus parainfluenzae	0.01
Ruminococcus torques	Alistipes shahii	0.009
Ruminococcus torques	Parabacteroides johnsonii	0.015
Ruminococcus torques	Bacteroides fragilis	0.01
Ruminococcus torques	Roseburia inulinivorans	0.004
Ruminococcus torques	Bifidobacterium longum	0.019
Ruminococcus torques	Parabacteroides distasonis	0.014
Ruminococcus torques	Clostridium clostridioforme	0.014
Ruminococcus torques	Bacteroides coprocola	0.008
Ruminococcus torques	Ruminococcus bromii	0.003
Ruminococcus torques	Escherichia coli	0.017
Ruminococcus torques	Bacteroides stercoris	0.015
Ruminococcus torques	Prevotella ruminicola	0.014
Ruminococcus torques	Pseudoflavonifractor capillosus	0.006
Ruminococcus torques	Blautia wexlerae	0.013
Ruminococcus torques	Alistipes putredinis	0.001
Ruminococcus torques	Eubacterium rectale	0.005
Ruminococcus torques	Bacteroides caccae	0.017
Ruminococcus torques	Desulfovibrio piger	0.014
Ruminococcus torques	Coprococcus catus	0.01
Ruminococcus torques	Faecalibacterium prausnitzii	0.006
Ruminococcus torques	Subdoligranulum variabile	0.009
Ruminococcus torques	Fusobacterium varium	0.009
Ruminococcus torques	Ruminococcus callidus	0.013
Ruminococcus torques	Collinsella tanakaei	0.009
Ruminococcus torques	Acidaminococcus fermentans	0.013
Ruminococcus torques	Desulfovibrio desulfuricans	0.013
Ruminococcus torques	Lactobacillus reuteri	0.01
Ruminococcus torques	Bacteroides uniformis	0.019
Ruminococcus torques	Phascolarctobacterium succinatutens	0.008
Ruminococcus torques	Bacteroides intestinalis	0.009
Ruminococcus torques	Bilophila wadsworthia	0.01
Ruminococcus torques	Alistipes finegoldii	0.01
Ruminococcus torques	Dorea longicatena	0.003
Ruminococcus torques	Klebsiella pneumoniae	0.017
Ruminococcus torques	Megasphaera elsdenii	0.013
Ruminococcus torques	Veillonella atypica	0.015
Ruminococcus torques	Shigella flexneri	0.015
Akkermansia muciniphila	Bacteroides thetaiotaomicron	0.013
Akkermansia muciniphila	Enterobacter cloacae	0.009
Akkermansia muciniphila	Bacteroides eggerthii	0.017
Akkermansia muciniphila	Citrobacter amalonaticus	0.008
Akkermansia muciniphila	Parabacteroides johnsonii	0.008
Akkermansia muciniphila	Bacteroides fragilis	0.01
Akkermansia muciniphila	Bifidobacterium longum	0.013
Akkermansia muciniphila	Parabacteroides distasonis	0.011
Akkermansia muciniphila	Bacteroides coprocola	0.008
Akkermansia muciniphila	Escherichia coli	0.011
Akkermansia muciniphila	Bacteroides stercoris	0.018
Akkermansia muciniphila	Prevotella ruminicola	0.009
Akkermansia muciniphila	Bacteroides caccae	0.02
Akkermansia muciniphila	Desulfovibrio piger	0.008
Akkermansia muciniphila	Bifidobacterium bifidum	0.013
Akkermansia muciniphila	Ruminococcus callidus	0.008
Akkermansia muciniphila	Desulfovibrio desulfuricans	0.008
Akkermansia muciniphila	Lactobacillus reuteri	0.003
Akkermansia muciniphila	Bacteroides uniformis	0.02
Akkermansia muciniphila	Bacteroides intestinalis	0.008
Akkermansia muciniphila	Bilophila wadsworthia	0.008
Akkermansia muciniphila	Klebsiella pneumoniae	0.012
Akkermansia muciniphila	Megasphaera elsdenii	0.013
Haemophilus parainfluenzae	Bacteroides thetaiotaomicron	0.017
Haemophilus parainfluenzae	Enterobacter cloacae	0.017
Haemophilus parainfluenzae	Bacteroides eggerthii	0.025
Haemophilus parainfluenzae	Citrobacter amalonaticus	0.017
Haemophilus parainfluenzae	Akkermansia muciniphila	0.01
Haemophilus parainfluenzae	Alistipes shahii	0.002
Haemophilus parainfluenzae	Parabacteroides johnsonii	0.025
Haemophilus parainfluenzae	Bacteroides fragilis	0.012
Haemophilus parainfluenzae	Roseburia inulinivorans	0.005
Haemophilus parainfluenzae	Bifidobacterium longum	0.025
Haemophilus parainfluenzae	Parabacteroides distasonis	0.025
Haemophilus parainfluenzae	Roseburia intestinalis	0.017
Haemophilus parainfluenzae	Bacteroides coprocola	0.022
Haemophilus parainfluenzae	Escherichia coli	0.025
Haemophilus parainfluenzae	Bacteroides stercoris	0.027
Haemophilus parainfluenzae	Prevotella ruminicola	0.02
Haemophilus parainfluenzae	Pseudoflavonifractor capillosus	0.002
Haemophilus parainfluenzae	Blautia wexlerae	0.017
Haemophilus parainfluenzae	Eubacterium rectale	0.017
Haemophilus parainfluenzae	Bacteroides caccae	0.032
Haemophilus parainfluenzae	Desulfovibrio piger	0.025
Haemophilus parainfluenzae	Coprococcus catus	0.007
Haemophilus parainfluenzae	Bifidobacterium bifidum	0.025
Haemophilus parainfluenzae	Streptococcus salivarius	0.042
Haemophilus parainfluenzae	Subdoligranulum variabile	0.017
Haemophilus parainfluenzae	Fusobacterium varium	0.017
Haemophilus parainfluenzae	Ruminococcus callidus	0.02
Haemophilus parainfluenzae	Collinsella tanakaei	0.007
Haemophilus parainfluenzae	Acidaminococcus fermentans	0.022
Haemophilus parainfluenzae	Desulfovibrio desulfuricans	0.022
Haemophilus parainfluenzae	Lactobacillus reuteri	0.007
Haemophilus parainfluenzae	Bacteroides uniformis	0.032
Haemophilus parainfluenzae	Phascolarctobacterium succinatutens	0.02
Haemophilus parainfluenzae	Bacteroides intestinalis	0.025
Haemophilus parainfluenzae	Bilophila wadsworthia	0.025
Haemophilus parainfluenzae	Alistipes finegoldii	0.002
Haemophilus parainfluenzae	Klebsiella pneumoniae	0.012
Haemophilus parainfluenzae	Megasphaera elsdenii	0.03
Haemophilus parainfluenzae	Veillonella atypica	0.017
Haemophilus parainfluenzae	Shigella flexneri	0.017
Alistipes shahii	Bacteroides thetaiotaomicron	0.063
Alistipes shahii	Enterobacter cloacae	0.017
Alistipes shahii	Bacteroides eggerthii	0.061
Alistipes shahii	Citrobacter amalonaticus	0.016
Alistipes shahii	Akkermansia muciniphila	0.067
Alistipes shahii	Parabacteroides johnsonii	0.071
Alistipes shahii	Bacteroides fragilis	0.055
Alistipes shahii	Roseburia inulinivorans	0.029
Alistipes shahii	Bifidobacterium longum	0.014
Alistipes shahii	Parabacteroides distasonis	0.061
Alistipes shahii	Roseburia intestinalis	0.035
Alistipes shahii	Bacteroides coprocola	0.061
Alistipes shahii	Escherichia coli	0.061
Alistipes shahii	Bacteroides stercoris	0.061
Alistipes shahii	Prevotella ruminicola	0.006
Alistipes shahii	Blautia wexlerae	0.006
Alistipes shahii	Eubacterium rectale	0.035
Alistipes shahii	Bacteroides caccae	0.069
Alistipes shahii	Desulfovibrio piger	0.061
Alistipes shahii	Bifidobacterium bifidum	0.055
Alistipes shahii	Streptococcus salivarius	0.029
Alistipes shahii	Subdoligranulum variabile	0.035
Alistipes shahii	Ruminococcus callidus	0.017
Alistipes shahii	Collinsella tanakaei	0.015
Alistipes shahii	Acidaminococcus fermentans	0.007
Alistipes shahii	Desulfovibrio desulfuricans	0.031
Alistipes shahii	Lactobacillus reuteri	0.055
Alistipes shahii	Bacteroides uniformis	0.069
Alistipes shahii	Bacteroides intestinalis	0.071
Alistipes shahii	Bilophila wadsworthia	0.061
Alistipes shahii	Klebsiella pneumoniae	0.056
Alistipes shahii	Megasphaera elsdenii	0.072
Alistipes shahii	Shigella flexneri	0.007
Alistipes shahii	Helicobacter pylori	0.055
Parabacteroides johnsonii	Bifidobacterium longum	0.013
Parabacteroides johnsonii	Escherichia coli	0.005
Parabacteroides johnsonii	Prevotella ruminicola	0.001
Parabacteroides johnsonii	Bacteroides caccae	0.011
Parabacteroides johnsonii	Desulfovibrio piger	0.001
Parabacteroides johnsonii	Bifidobacterium bifidum	0.012
Parabacteroides johnsonii	Ruminococcus callidus	0.001
Parabacteroides johnsonii	Desulfovibrio desulfuricans	0.001
Parabacteroides johnsonii	Bacteroides uniformis	0.011
Parabacteroides johnsonii	Bilophila wadsworthia	0.001
Bacteroides fragilis	Bacteroides thetaiotaomicron	0.027
Bacteroides fragilis	Enterobacter cloacae	0.018
Bacteroides fragilis	Bacteroides eggerthii	0.014
Bacteroides fragilis	Citrobacter amalonaticus	0.015
Bacteroides fragilis	Parabacteroides johnsonii	0.016
Bacteroides fragilis	Bifidobacterium longum	0.038
Bacteroides fragilis	Parabacteroides distasonis	0.01
Bacteroides fragilis	Bacteroides coprocola	0.012
Bacteroides fragilis	Escherichia coli	0.02
Bacteroides fragilis	Bacteroides stercoris	0.016
Bacteroides fragilis	Prevotella ruminicola	0.014
Bacteroides fragilis	Bacteroides caccae	0.037
Bacteroides fragilis	Desulfovibrio piger	0.012
Bacteroides fragilis	Bifidobacterium bifidum	0.037
Bacteroides fragilis	Streptococcus salivarius	0.028
Bacteroides fragilis	Ruminococcus callidus	0.015
Bacteroides fragilis	Collinsella tanakaei	0.005
Bacteroides fragilis	Desulfovibrio desulfuricans	0.015
Bacteroides fragilis	Lactobacillus reuteri	0.007
Bacteroides fragilis	Bacteroides uniformis	0.039
Bacteroides fragilis	Bacteroides intestinalis	0.016
Bacteroides fragilis	Bilophila wadsworthia	0.012
Bacteroides fragilis	Klebsiella pneumoniae	0.011
Bacteroides fragilis	Shigella flexneri	0.018
Roseburia inulinivorans	Bacteroides thetaiotaomicron	0.083
Roseburia inulinivorans	Enterobacter cloacae	0.01
Roseburia inulinivorans	Bacteroides eggerthii	0.084
Roseburia inulinivorans	Citrobacter amalonaticus	0.008
Roseburia inulinivorans	Akkermansia muciniphila	0.071
Roseburia inulinivorans	Parabacteroides johnsonii	0.078
Roseburia inulinivorans	Bacteroides fragilis	0.078
Roseburia inulinivorans	Bifidobacterium longum	0.022
Roseburia inulinivorans	Parabacteroides distasonis	0.079
Roseburia inulinivorans	Roseburia intestinalis	0.006
Roseburia inulinivorans	Bacteroides coprocola	0.077
Roseburia inulinivorans	Escherichia coli	0.079
Roseburia inulinivorans	Bacteroides stercoris	0.089
Roseburia inulinivorans	Pseudoflavonifractor capillosus	0.003
Roseburia inulinivorans	Blautia wexlerae	0.005
Roseburia inulinivorans	Bacteroides caccae	0.087
Roseburia inulinivorans	Desulfovibrio piger	0.077
Roseburia inulinivorans	Bifidobacterium bifidum	0.041
Roseburia inulinivorans	Fusobacterium varium	0.014
Roseburia inulinivorans	Ruminococcus callidus	0.006
Roseburia inulinivorans	Collinsella tanakaei	0.022
Roseburia inulinivorans	Acidaminococcus fermentans	0.006
Roseburia inulinivorans	Desulfovibrio desulfuricans	0.027
Roseburia inulinivorans	Lactobacillus reuteri	0.072
Roseburia inulinivorans	Bacteroides uniformis	0.088
Roseburia inulinivorans	Phascolarctobacterium succinatutens	0.006
Roseburia inulinivorans	Bacteroides intestinalis	0.078
Roseburia inulinivorans	Bilophila wadsworthia	0.079
Roseburia inulinivorans	Klebsiella pneumoniae	0.085
Roseburia inulinivorans	Megasphaera elsdenii	0.076
Roseburia inulinivorans	Shigella flexneri	0.008
Roseburia inulinivorans	Helicobacter pylori	0.072
Bifidobacterium longum	Bacteroides caccae	0.007
Bifidobacterium longum	Desulfovibrio piger	0.011
Bifidobacterium longum	Acidaminococcus fermentans	0.009
Bifidobacterium longum	Desulfovibrio desulfuricans	0.009
Bifidobacterium longum	Bacteroides uniformis	0.009
Bifidobacterium longum	Bilophila wadsworthia	0.002
Bifidobacterium longum	Megasphaera elsdenii	0.009
Bifidobacterium longum	Veillonella atypica	0.009
Parabacteroides distasonis	Bacteroides thetaiotaomicron	0.012
Parabacteroides distasonis	Enterobacter cloacae	0.008
Parabacteroides distasonis	Bacteroides eggerthii	0.002
Parabacteroides distasonis	Citrobacter amalonaticus	0.007
Parabacteroides distasonis	Parabacteroides johnsonii	0.004
Parabacteroides distasonis	Bifidobacterium longum	0.013
Parabacteroides distasonis	Escherichia coli	0.01
Parabacteroides distasonis	Bacteroides stercoris	0.002
Parabacteroides distasonis	Prevotella ruminicola	0.004
Parabacteroides distasonis	Bacteroides caccae	0.012
Parabacteroides distasonis	Streptococcus salivarius	0.026
Parabacteroides distasonis	Ruminococcus callidus	0.005
Parabacteroides distasonis	Desulfovibrio desulfuricans	0.005
Parabacteroides distasonis	Bacteroides uniformis	0.012
Parabacteroides distasonis	Bacteroides intestinalis	0.004
Parabacteroides distasonis	Shigella flexneri	0.008
Roseburia intestinalis	Bacteroides thetaiotaomicron	0.096
Roseburia intestinalis	Enterobacter cloacae	0.013
Roseburia intestinalis	Bacteroides eggerthii	0.076
Roseburia intestinalis	Citrobacter amalonaticus	0.011
Roseburia intestinalis	Ruminococcus torques	0.009
Roseburia intestinalis	Akkermansia muciniphila	0.068
Roseburia intestinalis	Parabacteroides johnsonii	0.07
Roseburia intestinalis	Bacteroides fragilis	0.082
Roseburia intestinalis	Bifidobacterium longum	0.028
Roseburia intestinalis	Parabacteroides distasonis	0.073
Roseburia intestinalis	Bacteroides coprocola	0.069
Roseburia intestinalis	Escherichia coli	0.071
Roseburia intestinalis	Bacteroides stercoris	0.084
Roseburia intestinalis	Blautia wexlerae	0.007
Roseburia intestinalis	Bacteroides caccae	0.096
Roseburia intestinalis	Desulfovibrio piger	0.069
Roseburia intestinalis	Bifidobacterium bifidum	0.044
Roseburia intestinalis	Subdoligranulum variabile	0.002
Roseburia intestinalis	Ruminococcus callidus	0.008
Roseburia intestinalis	Collinsella tanakaei	0.02
Roseburia intestinalis	Acidaminococcus fermentans	0.008
Roseburia intestinalis	Desulfovibrio desulfuricans	0.021
Roseburia intestinalis	Lactobacillus reuteri	0.069
Roseburia intestinalis	Bacteroides uniformis	0.097
Roseburia intestinalis	Bacteroides intestinalis	0.07
Roseburia intestinalis	Bilophila wadsworthia	0.071
Roseburia intestinalis	Klebsiella pneumoniae	0.078
Roseburia intestinalis	Megasphaera elsdenii	0.069
Roseburia intestinalis	Veillonella atypica	0.009
Roseburia intestinalis	Shigella flexneri	0.011
Roseburia intestinalis	Helicobacter pylori	0.069
Clostridium clostridioforme	Bacteroides thetaiotaomicron	0.063
Clostridium clostridioforme	Enterobacter cloacae	0.051
Clostridium clostridioforme	Bacteroides eggerthii	0.046
Clostridium clostridioforme	Citrobacter amalonaticus	0.05
Clostridium clostridioforme	Akkermansia muciniphila	0.09
Clostridium clostridioforme	Haemophilus parainfluenzae	0.02
Clostridium clostridioforme	Alistipes shahii	0.015
Clostridium clostridioforme	Parabacteroides johnsonii	0.085
Clostridium clostridioforme	Bacteroides fragilis	0.055
Clostridium clostridioforme	Roseburia inulinivorans	0.028
Clostridium clostridioforme	Bifidobacterium longum	0.015
Clostridium clostridioforme	Parabacteroides distasonis	0.051
Clostridium clostridioforme	Roseburia intestinalis	0.028
Clostridium clostridioforme	Bacteroides coprocola	0.043
Clostridium clostridioforme	Escherichia coli	0.063
Clostridium clostridioforme	Bacteroides stercoris	0.048
Clostridium clostridioforme	Prevotella ruminicola	0.022
Clostridium clostridioforme	Eubacterium rectale	0.028
Clostridium clostridioforme	Bacteroides caccae	0.056
Clostridium clostridioforme	Desulfovibrio piger	0.045
Clostridium clostridioforme	Bifidobacterium bifidum	0.017
Clostridium clostridioforme	Faecalibacterium prausnitzii	0.028
Clostridium clostridioforme	Streptococcus salivarius	0.066
Clostridium clostridioforme	Subdoligranulum variabile	0.027
Clostridium clostridioforme	Fusobacterium varium	0.028
Clostridium clostridioforme	Ruminococcus callidus	0.048
Clostridium clostridioforme	Collinsella tanakaei	0.058
Clostridium clostridioforme	Acidaminococcus fermentans	0.043
Clostridium clostridioforme	Desulfovibrio desulfuricans	0.091
Clostridium clostridioforme	Lactobacillus reuteri	0.055
Clostridium clostridioforme	Bacteroides uniformis	0.056
Clostridium clostridioforme	Phascolarctobacterium succinatutens	0.013
Clostridium clostridioforme	Bacteroides intestinalis	0.085
Clostridium clostridioforme	Bilophila wadsworthia	0.046
Clostridium clostridioforme	Alistipes finegoldii	0.015
Clostridium clostridioforme	Klebsiella pneumoniae	0.071
Clostridium clostridioforme	Megasphaera elsdenii	0.116
Clostridium clostridioforme	Veillonella atypica	0.003
Clostridium clostridioforme	Shigella flexneri	0.023
Clostridium clostridioforme	Helicobacter pylori	0.045
Bacteroides coprocola	Bacteroides thetaiotaomicron	0.013
Bacteroides coprocola	Enterobacter cloacae	0.008
Bacteroides coprocola	Bacteroides eggerthii	0.006
Bacteroides coprocola	Citrobacter amalonaticus	0.007
Bacteroides coprocola	Parabacteroides johnsonii	0.004
Bacteroides coprocola	Bifidobacterium longum	0.007
Bacteroides coprocola	Parabacteroides distasonis	0.001
Bacteroides coprocola	Escherichia coli	0.01
Bacteroides coprocola	Bacteroides stercoris	0.006
Bacteroides coprocola	Prevotella ruminicola	0.005
Bacteroides coprocola	Bacteroides caccae	0.012
Bacteroides coprocola	Desulfovibrio piger	0.001
Bacteroides coprocola	Bifidobacterium bifidum	0.006
Bacteroides coprocola	Streptococcus salivarius	0.032
Bacteroides coprocola	Ruminococcus callidus	0.005
Bacteroides coprocola	Desulfovibrio desulfuricans	0.005
Bacteroides coprocola	Bacteroides uniformis	0.012
Bacteroides coprocola	Bacteroides intestinalis	0.004
Bacteroides coprocola	Bilophila wadsworthia	0.001
Bacteroides coprocola	Megasphaera elsdenii	0.008
Bacteroides coprocola	Shigella flexneri	0.008
Ruminococcus bromii	Bacteroides thetaiotaomicron	0.146
Ruminococcus bromii	Enterobacter cloacae	0.034
Ruminococcus bromii	Lactobacillus mucosae	0.012
Ruminococcus bromii	Bacteroides eggerthii	0.144
Ruminococcus bromii	Citrobacter amalonaticus	0.028
Ruminococcus bromii	Akkermansia muciniphila	0.142
Ruminococcus bromii	Haemophilus parainfluenzae	0.014
Ruminococcus bromii	Alistipes shahii	0.012
Ruminococcus bromii	Parabacteroides johnsonii	0.16
Ruminococcus bromii	Bacteroides fragilis	0.133
Ruminococcus bromii	Roseburia inulinivorans	0.014
Ruminococcus bromii	Bifidobacterium longum	0.044
Ruminococcus bromii	Parabacteroides distasonis	0.148
Ruminococcus bromii	Roseburia intestinalis	0.025
Ruminococcus bromii	Clostridium clostridioforme	0.014
Ruminococcus bromii	Bacteroides coprocola	0.148
Ruminococcus bromii	Bifidobacterium adolescentis	0.028
Ruminococcus bromii	Escherichia coli	0.162
Ruminococcus bromii	Bacteroides stercoris	0.149
Ruminococcus bromii	Prevotella ruminicola	0.041
Ruminococcus bromii	Pseudoflavonifractor capillosus	0.009
Ruminococcus bromii	Blautia wexlerae	0.02
Ruminococcus bromii	Eubacterium rectale	0.025
Ruminococcus bromii	Bacteroides caccae	0.158
Ruminococcus bromii	Desulfovibrio piger	0.153
Ruminococcus bromii	Coprococcus catus	0.016
Ruminococcus bromii	Bifidobacterium bifidum	0.084
Ruminococcus bromii	Faecalibacterium prausnitzii	0.025
Ruminococcus bromii	Streptococcus salivarius	0.012
Ruminococcus bromii	Subdoligranulum variabile	0.027
Ruminococcus bromii	Fusobacterium varium	0.02
Ruminococcus bromii	Ruminococcus callidus	0.027
Ruminococcus bromii	Collinsella tanakaei	0.05
Ruminococcus bromii	Acidaminococcus fermentans	0.028
Ruminococcus bromii	Desulfovibrio desulfuricans	0.064
Ruminococcus bromii	Lactobacillus reuteri	0.142
Ruminococcus bromii	Bacteroides uniformis	0.162
Ruminococcus bromii	Phascolarctobacterium succinatutens	0.027
Ruminococcus bromii	Bacteroides intestinalis	0.16
Ruminococcus bromii	Bilophila wadsworthia	0.153
Ruminococcus bromii	Alistipes finegoldii	0.016
Ruminococcus bromii	Dorea longicatena	0.014
Ruminococcus bromii	Klebsiella pneumoniae	0.151
Ruminococcus bromii	Megasphaera elsdenii	0.157
Ruminococcus bromii	Veillonella atypica	0.023
Ruminococcus bromii	Shigella flexneri	0.034
Ruminococcus bromii	Helicobacter pylori	0.133
Bifidobacterium adolescentis	Bacteroides thetaiotaomicron	0.034
Bifidobacterium adolescentis	Enterobacter cloacae	0.034
Bifidobacterium adolescentis	Bacteroides eggerthii	0.046
Bifidobacterium adolescentis	Ruminococcus torques	0.017
Bifidobacterium adolescentis	Akkermansia muciniphila	0.019
Bifidobacterium adolescentis	Haemophilus parainfluenzae	0.019
